Organism	ID-LBS-ENR-E1_S23_L001	ID-LBS-ENR-E1_S23_L002	ID-LBS-SG_S46_L001	ID-LBS-SG_S46_L002	LS10-ENR-E1_S10_L001	LS10-ENR-E1_S10_L002	LS10-SG_S33_L001	LS10-SG_S33_L002	LS11-ENR-E1_S11_L001	LS11-ENR-E1_S11_L002	LS11-SG_S34_L001	LS11-SG_S34_L002	LS12-ENR-E1_S12_L001	LS12-ENR-E1_S12_L002	LS12-SG_S35_L001	LS12-SG_S35_L002	LS13-ENR-E1_S13_L001	LS13-ENR-E1_S13_L002	LS13-SG_S36_L001	LS13-SG_S36_L002	LS14-ENR-E1_S14_L001	LS14-ENR-E1_S14_L002	LS14-SG_S37_L001	LS14-SG_S37_L002	LS15-ENR-E1_S15_L001	LS15-ENR-E1_S15_L002	LS15-SG_S38_L001	LS15-SG_S38_L002	LS16-ENR-E1_S16_L001	LS16-ENR-E1_S16_L002	LS16-SG_S39_L001	LS16-SG_S39_L002	LS17-ENR-E1_S17_L001	LS17-ENR-E1_S17_L002	LS17-SG_S40_L001	LS17-SG_S40_L002	LS18-ENR-E1_S18_L001	LS18-ENR-E1_S18_L002	LS18-SG_S41_L001	LS18-SG_S41_L002	LS19-ENR-E1_S19_L001	LS19-ENR-E1_S19_L002	LS19-SG_S42_L001	LS19-SG_S42_L002	LS1-ENR-E1_S1_L001	LS1-ENR-E1_S1_L002	LS1-SG_S24_L001	LS1-SG_S24_L002	LS20-ENR-E1_S20_L001	LS20-ENR-E1_S20_L002	LS20-SG_S43_L001	LS20-SG_S43_L002	LS21-ENR-E1_S2_L001	LS21-ENR-E1_S2_L002	LS21-SG_S1_L001	LS21-SG_S1_L002	LS22-ENR-E1_S21_L001	LS22-ENR-E1_S21_L002	LS22-SG_S44_L001	LS22-SG_S44_L002	LS23-ENR-E1_S22_L001	LS23-ENR-E1_S22_L002	LS23-SG_S45_L001	LS23-SG_S45_L002	LS2-ENR-E1_S2_L001	LS2-ENR-E1_S2_L002	LS2-SG_S25_L001	LS2-SG_S25_L002	LS3-ENR-E1_S3_L001	LS3-ENR-E1_S3_L002	LS3-SG_S26_L001	LS3-SG_S26_L002	LS4-ENR-E1_S4_L001	LS4-ENR-E1_S4_L002	LS4-SG_S27_L001	LS4-SG_S27_L002	LS5-ENR-E1_S5_L001	LS5-ENR-E1_S5_L002	LS5-SG_S28_L001	LS5-SG_S28_L002	LS6-ENR-E1_S6_L001	LS6-ENR-E1_S6_L002	LS6-SG_S29_L001	LS6-SG_S29_L002	LS7-ENR-E1_S7_L001	LS7-ENR-E1_S7_L002	LS7-SG_S30_L001	LS7-SG_S30_L002	LS8-ENR-E1_S8_L001	LS8-ENR-E1_S8_L002	LS8-SG_S31_L001	LS8-SG_S31_L002	LS9-ENR-E1_S9_L001	LS9-ENR-E1_S9_L002	LS9-SG_S32_L001	LS9-SG_S32_L002
Achromobacter|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter|xylosoxidans|562971.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Achromobacter|xylosoxidans|85698.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Achromobacter|xylosoxidans|85698.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Achromobacter|xylosoxidans|85698.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter|xylosoxidans|85698.49	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Achromobacter|xylosoxidans|85698.50	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	1	0
Acinetobacter|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter|baumannii|1096995.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter|baumannii|1096996.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
