ENA|CP003859|CP003859.1	Streptococcus	constellatus	C1050
ENA|AE007317|AE007317.1	Streptococcus	pneumoniae	R6
scaffold_0	Staphylococcus	aureus	IIDRC0017
scaffold_1	Staphylococcus	aureus	IIDRC0017
scaffold_2	Staphylococcus	aureus	IIDRC0017
scaffold_3	Staphylococcus	aureus	IIDRC0017
scaffold_4	Staphylococcus	aureus	IIDRC0017
scaffold_5	Staphylococcus	aureus	IIDRC0017
scaffold_6	Staphylococcus	aureus	IIDRC0017
scaffold_7	Staphylococcus	aureus	IIDRC0017
scaffold_8	Staphylococcus	aureus	IIDRC0017
scaffold_9	Staphylococcus	aureus	IIDRC0017
scaffold_10	Staphylococcus	aureus	IIDRC0017
scaffold_11	Staphylococcus	aureus	IIDRC0017
scaffold_12	Staphylococcus	aureus	IIDRC0017
scaffold_13	Staphylococcus	aureus	IIDRC0017
scaffold_14	Staphylococcus	aureus	IIDRC0017
scaffold_15	Staphylococcus	aureus	IIDRC0017
scaffold_16	Staphylococcus	aureus	IIDRC0017
scaffold_17	Staphylococcus	aureus	IIDRC0017
scaffold_18	Staphylococcus	aureus	IIDRC0017
scaffold_19	Staphylococcus	aureus	IIDRC0017
scaffold_20	Staphylococcus	aureus	IIDRC0017
scaffold_21	Staphylococcus	aureus	IIDRC0017
scaffold_22	Staphylococcus	aureus	IIDRC0017
scaffold_23	Staphylococcus	aureus	IIDRC0017
scaffold_24	Staphylococcus	aureus	IIDRC0017
scaffold_25	Staphylococcus	aureus	IIDRC0017
scaffold_26	Staphylococcus	aureus	IIDRC0017
scaffold_27	Staphylococcus	aureus	IIDRC0017
scaffold_28	Staphylococcus	aureus	IIDRC0017
scaffold_29	Staphylococcus	aureus	IIDRC0017
scaffold_30	Staphylococcus	aureus	IIDRC0017
scaffold_31	Staphylococcus	aureus	IIDRC0017
scaffold_32	Staphylococcus	aureus	IIDRC0017
scaffold_33	Staphylococcus	aureus	IIDRC0017
scaffold_34	Staphylococcus	aureus	IIDRC0017
scaffold_35	Staphylococcus	aureus	IIDRC0017
scaffold_36	Staphylococcus	aureus	IIDRC0017
scaffold_37	Staphylococcus	aureus	IIDRC0017
scaffold_38	Staphylococcus	aureus	IIDRC0017
scaffold_39	Staphylococcus	aureus	IIDRC0017
scaffold_40	Staphylococcus	aureus	IIDRC0017
scaffold_41	Staphylococcus	aureus	IIDRC0017
scaffold_42	Staphylococcus	aureus	IIDRC0017
scaffold_43	Staphylococcus	aureus	IIDRC0017
scaffold_44	Staphylococcus	aureus	IIDRC0017
scaffold_45	Staphylococcus	aureus	IIDRC0017
scaffold_46	Staphylococcus	aureus	IIDRC0017
scaffold_47	Staphylococcus	aureus	IIDRC0017
scaffold_48	Staphylococcus	aureus	IIDRC0017
scaffold_49	Staphylococcus	aureus	IIDRC0017
scaffold_50	Staphylococcus	aureus	IIDRC0017
scaffold_51	Staphylococcus	aureus	IIDRC0017
scaffold_52	Staphylococcus	aureus	IIDRC0017
scaffold_53	Staphylococcus	aureus	IIDRC0017
scaffold_54	Staphylococcus	aureus	IIDRC0017
scaffold_55	Staphylococcus	aureus	IIDRC0017
scaffold_56	Staphylococcus	aureus	IIDRC0017
scaffold_57	Staphylococcus	aureus	IIDRC0017
scaffold_58	Staphylococcus	aureus	IIDRC0017
scaffold_59	Staphylococcus	aureus	IIDRC0017
scaffold_60	Staphylococcus	aureus	IIDRC0017
scaffold_61	Staphylococcus	aureus	IIDRC0017
scaffold_62	Staphylococcus	aureus	IIDRC0017
scaffold_63	Staphylococcus	aureus	IIDRC0017
